Label,External URI
"J. Johnson",http://viaf.org/viaf/150566756
"J. M. Dent and Sons",http://viaf.org/viaf/140758077
"J. M. Dent",http://viaf.org/viaf/123541450
"J. Murray",http://viaf.org/viaf/121005241
"J. Nisbet and Co.",http://viaf.org/viaf/159791798
"J. Nisbet",http://viaf.org/viaf/159791798
"J. W. Parker",http://viaf.org/viaf/142359393
"J. and A. Arch",http://viaf.org/viaf/127710360
"J. and C. Mozley",http://viaf.org/viaf/17163935897000830293
"J. and R. Maxwell",http://viaf.org/viaf/154038101
"James Nisbet",http://viaf.org/viaf/159791798
"Jarrold and Sons",http://viaf.org/viaf/134109645
"Jarrolds",http://viaf.org/viaf/134109645
"John Chapman",http://viaf.org/viaf/14820783
"John Day",http://viaf.org/viaf/146950190
"John Lane",http://viaf.org/viaf/37673712
"John Long",http://viaf.org/viaf/311358603
"Johns Hopkins University Press",http://viaf.org/viaf/157408888
"Jonathan Cape",http://viaf.org/viaf/311357659
"Joseph Johnson",http://viaf.org/viaf/7617625
"Juvenilia Press",https://www.wikidata.org/wiki/Q6318982
"Kegan Paul",http://viaf.org/viaf/167617309
"Kegan Paul, Trench",http://viaf.org/viaf/158743903
"Kegan Paul, Trench, Trübner",http://viaf.org/viaf/146326081
"Knopf",http://viaf.org/viaf/142395924
"Lane, Newman",http://viaf.org/viaf/169943856
"Leicester University Press",http://viaf.org/viaf/137251158
"Little, Brown and Co.",http://viaf.org/viaf/144240696
"Little, Brown",http://viaf.org/viaf/144240696
"Longman",http://viaf.org/viaf/149560951
"Longman, Brown, Green, Longmans, and Roberts",http://viaf.org/viaf/129480794
"Longman, Brown, Green, and Longmans",http://viaf.org/viaf/132966589
"Longman, Hurst, Rees, Orme and Brown",http://viaf.org/viaf/142878694
"Longman, Hurst, Rees, Orme, Brown and Green",http://viaf.org/viaf/129885448
"Longman, Hurst, Rees, Orme, Brown, and Green",http://viaf.org/viaf/129885448
"Longman, Hurst, Rees, Orme, and Brown",http://viaf.org/viaf/142878694
"Longman, Hurst, Rees, and Orme",http://viaf.org/viaf/144093895
"Longman, Rees, Orme, Brown and Green",http://viaf.org/viaf/148358760
"Longman, Rees, Orme, Brown, Green, and Longman",http://viaf.org/viaf/141164782
"Longman, Rees, Orme, Brown, and Green",http://viaf.org/viaf/148358760
"Longmans",http://viaf.org/viaf/149560951
"Longmans, Green and Co.",http://viaf.org/viaf/124935207
"Longmans, Green",http://viaf.org/viaf/124935207
"M. Joseph",http://viaf.org/viaf/170264319
"M. Secker",http://viaf.org/viaf/311352549
"MacGibbon and Kee",http://viaf.org/viaf/315242555
"MacMillan",http://viaf.org/viaf/146646454
"Macdonald",http://viaf.org/viaf/265092408
"Macmillan and Co.",http://viaf.org/viaf/146646454
"Macmillan of Canada",http://viaf.org/viaf/146646454
"Macmillan",http://viaf.org/viaf/146646454
"Manchester University Press",http://viaf.org/viaf/124280108
"Maunsel",http://viaf.org/viaf/136434951
"McClelland and Stewart",http://viaf.org/viaf/152755326
"McGraw-Hill",http://viaf.org/viaf/123122501
"Methuen & Co.",http://viaf.org/viaf/167761845
"Methuen Drama",http://viaf.org/viaf/236613093
"Methuen",http://viaf.org/viaf/167761845
"Michael Joseph",http://viaf.org/viaf/170264319
"Mills and Boon",http://viaf.org/viaf/138558579
"Minerva",http://viaf.org/viaf/143390459
"New Directions",http://viaf.org/viaf/145581718
"New York University Press",http://viaf.org/viaf/153864593
"Nick Hern",http://viaf.org/viaf/311349386
"Ohio University Press",http://viaf.org/viaf/126720804
"Oxford University Press",http://viaf.org/viaf/140705396
"P. Norbury",http://viaf.org/viaf/28967567
"Palgrave Macmillan",http://viaf.org/viaf/315532896
"Palgrave",http://viaf.org/viaf/315532896
"Penguin Books",http://viaf.org/viaf/134443168
"Penguin",http://viaf.org/viaf/134443168
"Persephone Books",http://viaf.org/viaf/154010484
"Peter Davies",http://viaf.org/viaf/251951772
"Peter Lang",http://viaf.org/viaf/124433028
"Peter Owen",http://viaf.org/viaf/151350062
"Peterloo Poets",http://viaf.org/viaf/134097999
"Phaidon",http://viaf.org/viaf/123681958
