orlando id,wikidata uri
steea2,http://www.wikidata.org/entity/Q15506168
steefl,http://www.wikidata.org/entity/Q5460275
steige,http://www.wikidata.org/entity/Q188385
sterla,http://www.wikidata.org/entity/Q218960
stewma,http://www.wikidata.org/entity/Q271111
stjoch,None
stonel,None
stopch,http://www.wikidata.org/entity/Q5085871
storle,http://www.wikidata.org/entity/Q6530542
stowha,http://www.wikidata.org/entity/Q102513
strama,http://www.wikidata.org/entity/Q6779099
strehe,None
streno,None
striel,None
struja,None
stualo,http://www.wikidata.org/entity/Q245935
sumble,None
swanan,None
swinal,http://www.wikidata.org/entity/Q315511
syngjm,http://www.wikidata.org/entity/Q213447
tatlel,None
taylan,http://www.wikidata.org/entity/Q18526488
taylha,None
taylja,http://www.wikidata.org/entity/Q4259798
teftel,None
tennal,http://www.wikidata.org/entity/Q173869
tennta,http://www.wikidata.org/entity/Q7673085
thacwi,http://www.wikidata.org/entity/Q167768
thimge,http://www.wikidata.org/entity/Q16211166
thiran,None
thome2,http://www.wikidata.org/entity/Q5363613
thomfl,None
thurka,http://www.wikidata.org/entity/Q6376559
tindhe,http://www.wikidata.org/entity/Q19325913
tippel,None
tomlel,None
townsu,None
trapan,None
travre,None
treevi,None
tremro,None
trimsa,None
trolan,http://www.wikidata.org/entity/Q318399
trolfr,None
trotca,None
trutso,http://www.wikidata.org/entity/Q105180
tweesu,http://www.wikidata.org/entity/Q7647623
tynaka,None
tytlha,http://www.wikidata.org/entity/Q55218200
undeev,None
vardja,None
velema,None
villli,None
vokijo,None
waddhe,http://www.wikidata.org/entity/Q540168
walflu,http://www.wikidata.org/entity/Q6698204
walkan,None
walkma,http://www.wikidata.org/entity/Q18576739
walldo,None
walpho,http://www.wikidata.org/entity/Q309903
wardm2,http://www.wikidata.org/entity/Q291061
warian,None
warnsy,None
warrme,http://www.wikidata.org/entity/Q2338545
warwma,http://www.wikidata.org/entity/Q6780600
watesa,http://www.wikidata.org/entity/Q237555
wattsu,None
weavha,None
webbma,http://www.wikidata.org/entity/Q2306224
wedgju,None
weldfa,http://www.wikidata.org/entity/Q239501
wellhe,None
welteu,http://www.wikidata.org/entity/Q259364
wentan,None
wertti,None
weslsu,None
westre,None
whared,http://www.wikidata.org/entity/Q276032
wheeag,http://www.wikidata.org/entity/Q18935963
whipdo,None
whitan,http://www.wikidata.org/entity/Q509528
whitel,http://www.wikidata.org/entity/Q58331386
whitjo,http://www.wikidata.org/entity/Q21401486
wickan,None
wildja,http://www.wikidata.org/entity/Q272303
wilksa,None
willan,http://www.wikidata.org/entity/Q772966
willja,http://www.wikidata.org/entity/Q6152943
wilset,http://www.wikidata.org/entity/Q5403231
wilsha,None
wintje,None
wiseja,http://www.wikidata.org/entity/Q6152955
