ORLANDO TERM,Possible URI,Possible URI #2
letters from the dead to the living,http://sparql.cwrc.ca/ontologies/genre#lettersFromTheDeadToTheLiving,
lettersfromthedeadtotheliving,http://sparql.cwrc.ca/ontologies/genre#lettersFromTheDeadToTheLiving,
lgbtq,http://sparql.cwrc.ca/ontologies/genre#lgbtq,
lgbtq+genre,http://sparql.cwrc.ca/ontologies/genre#LGBTQPlusGenre,
libretto,http://sparql.cwrc.ca/ontologies/genre#libretto,
life writing,http://sparql.cwrc.ca/ontologies/genre#lifeWriting,
life writing genre,http://sparql.cwrc.ca/ontologies/genre#LifeWritingGenre,
literary criticism,http://sparql.cwrc.ca/ontologies/genre#literaryCriticism,
literary genre,http://sparql.cwrc.ca/ontologies/genre#LiteraryGenre,
literary romance,http://sparql.cwrc.ca/ontologies/genre#romance,
literarycriticism,http://sparql.cwrc.ca/ontologies/genre#literaryCriticism,
liturgy,http://sparql.cwrc.ca/ontologies/genre#liturgy,
local history,http://sparql.cwrc.ca/ontologies/genre#localHistory,
long poem,http://sparql.cwrc.ca/ontologies/genre#longPoem,
loose-leaf,http://sparql.cwrc.ca/ontologies/genre#looseLeaf,
love,http://sparql.cwrc.ca/ontologies/genre#love,
lullaby,http://sparql.cwrc.ca/ontologies/genre#lullaby,
lyric,http://sparql.cwrc.ca/ontologies/genre#lyric,
ma research paper,http://sparql.cwrc.ca/ontologies/genre#maResearchPaper,
ma thesis,http://sparql.cwrc.ca/ontologies/genre#maThesis,
magic realist,http://sparql.cwrc.ca/ontologies/genre#magicRealist,
magicrealist,http://sparql.cwrc.ca/ontologies/genre#magicRealist,
manifesto,http://sparql.cwrc.ca/ontologies/genre#manifesto,
manual,http://sparql.cwrc.ca/ontologies/genre#manual,
manuscript,http://sparql.cwrc.ca/ontologies/genre#manuscript,
map,http://sparql.cwrc.ca/ontologies/genre#map,
masque,http://sparql.cwrc.ca/ontologies/genre#masque,
medical writing,http://sparql.cwrc.ca/ontologies/genre#medicalWriting,
medicalwriting,http://sparql.cwrc.ca/ontologies/genre#medicalWriting,
medium,http://sparql.cwrc.ca/ontologies/genre#Medium,
melodrama,http://sparql.cwrc.ca/ontologies/genre#melodrama,
memoir,http://sparql.cwrc.ca/ontologies/genre#memoir,
microfilm,http://sparql.cwrc.ca/ontologies/genre#microform,
microform,http://sparql.cwrc.ca/ontologies/genre#microform,
migration,http://sparql.cwrc.ca/ontologies/genre#migration,
military,http://sparql.cwrc.ca/ontologies/genre#military,
mimeograph,http://sparql.cwrc.ca/ontologies/genre#mimeograph,
mixed materials,http://sparql.cwrc.ca/ontologies/genre#mixedMaterials,
mixed media,http://sparql.cwrc.ca/ontologies/genre#multimedia,
mixedmedia,http://sparql.cwrc.ca/ontologies/genre#multimedia,
mock forms,http://sparql.cwrc.ca/ontologies/genre#mockForms,
mockforms,http://sparql.cwrc.ca/ontologies/genre#mockForms,
monologue,http://sparql.cwrc.ca/ontologies/genre#monologue,
morality or mystery play,http://sparql.cwrc.ca/ontologies/genre#moralityOrMysteryPlay,
moralitymysteryplay,http://sparql.cwrc.ca/ontologies/genre#moralityOrMysteryPlay,
moving medium,http://sparql.cwrc.ca/ontologies/genre#MovingMedium,
multimedia,http://sparql.cwrc.ca/ontologies/genre#multimedia,
music,http://sparql.cwrc.ca/ontologies/genre#music,
musical genre,http://sparql.cwrc.ca/ontologies/genre#MusicalGenre,
musical notation form,http://sparql.cwrc.ca/ontologies/genre#MusicalNotationForm,
musical score,http://sparql.cwrc.ca/ontologies/genre#notatedMusic,
musical verse,http://sparql.cwrc.ca/ontologies/genre#musicalWriting,
musical writing,http://sparql.cwrc.ca/ontologies/genre#musicalWriting,
musicology,http://sparql.cwrc.ca/ontologies/genre#musicology,
mystery,http://sparql.cwrc.ca/ontologies/genre#mystery,
mystery genre,http://sparql.cwrc.ca/ontologies/genre#MysteryGenre,
myth,http://sparql.cwrc.ca/ontologies/genre#myth,
narrative genre,http://sparql.cwrc.ca/ontologies/genre#NarrativeGenre,
narrative poetry,http://sparql.cwrc.ca/ontologies/genre#narrativePoetry,
narrativepoetry,http://sparql.cwrc.ca/ontologies/genre#narrativePoetry,
national tale,http://sparql.cwrc.ca/ontologies/genre#nationalTale,
nationalist,http://sparql.cwrc.ca/ontologies/genre#nationalist,
nationaltale,http://sparql.cwrc.ca/ontologies/genre#nationalTale,
newspaper,http://sparql.cwrc.ca/ontologies/genre#newspaper,
notated music,http://sparql.cwrc.ca/ontologies/genre#notatedMusic,
notebook,http://sparql.cwrc.ca/ontologies/genre#notebook,
novel,http://sparql.cwrc.ca/ontologies/genre#novel,
novel of sensibility,http://sparql.cwrc.ca/ontologies/genre#novelOfSensibility,
novelette,http://sparql.cwrc.ca/ontologies/genre#novella,
